Driver,Team,LapTime,LapNumber,Compound,TyreLife,Stint,IsAccurate,Year,GP,LapTimeSeconds,NormalizedLapTime,CompoundEncoded
VER,Red Bull Racing,0 days 00:01:36.296000,2.0,SOFT,5.0,1.0,True,2024,Bahrain,96.296,8.78916766826923,0.0
VER,Red Bull Racing,0 days 00:01:36.753000,3.0,SOFT,6.0,1.0,True,2024,Bahrain,96.753,9.246167668269223,0.0
VER,Red Bull Racing,0 days 00:01:36.647000,4.0,SOFT,7.0,1.0,True,2024,Bahrain,96.647,9.140167668269228,0.0
VER,Red Bull Racing,0 days 00:01:37.173000,5.0,SOFT,8.0,1.0,True,2024,Bahrain,97.173,9.666167668269225,0.0
VER,Red Bull Racing,0 days 00:01:37.092000,6.0,SOFT,9.0,1.0,True,2024,Bahrain,97.092,9.585167668269222,0.0
VER,Red Bull Racing,0 days 00:01:37.038000,7.0,SOFT,10.0,1.0,True,2024,Bahrain,97.038,9.53116766826922,0.0
VER,Red Bull Racing,0 days 00:01:37.024000,8.0,SOFT,11.0,1.0,True,2024,Bahrain,97.024,9.517167668269224,0.0
VER,Red Bull Racing,0 days 00:01:37.229000,9.0,SOFT,12.0,1.0,True,2024,Bahrain,97.229,9.722167668269222,0.0
VER,Red Bull Racing,0 days 00:01:36.960000,10.0,SOFT,13.0,1.0,True,2024,Bahrain,96.96,9.453167668269217,0.0
VER,Red Bull Racing,0 days 00:01:37.085000,11.0,SOFT,14.0,1.0,True,2024,Bahrain,97.085,9.578167668269217,0.0
VER,Red Bull Racing,0 days 00:01:37.045000,12.0,SOFT,15.0,1.0,True,2024,Bahrain,97.045,9.538167668269224,0.0
VER,Red Bull Racing,0 days 00:01:37.030000,13.0,SOFT,16.0,1.0,True,2024,Bahrain,97.03,9.523167668269224,0.0
VER,Red Bull Racing,0 days 00:01:37.028000,14.0,SOFT,17.0,1.0,True,2024,Bahrain,97.028,9.521167668269229,0.0
VER,Red Bull Racing,0 days 00:01:37.011000,15.0,SOFT,18.0,1.0,True,2024,Bahrain,97.011,9.504167668269218,0.0
VER,Red Bull Racing,0 days 00:01:37.168000,16.0,SOFT,19.0,1.0,True,2024,Bahrain,97.168,9.66116766826923,0.0
VER,Red Bull Racing,0 days 00:01:35.283000,19.0,HARD,2.0,2.0,True,2024,Bahrain,95.283,7.776167668269224,2.0
VER,Red Bull Racing,0 days 00:01:35.160000,20.0,HARD,3.0,2.0,True,2024,Bahrain,95.16,7.653167668269219,2.0
VER,Red Bull Racing,0 days 00:01:35.316000,21.0,HARD,4.0,2.0,True,2024,Bahrain,95.316,7.809167668269225,2.0
VER,Red Bull Racing,0 days 00:01:35.204000,22.0,HARD,5.0,2.0,True,2024,Bahrain,95.204,7.697167668269216,2.0
VER,Red Bull Racing,0 days 00:01:35.216000,23.0,HARD,6.0,2.0,True,2024,Bahrain,95.216,7.709167668269217,2.0
VER,Red Bull Racing,0 days 00:01:35.289000,24.0,HARD,7.0,2.0,True,2024,Bahrain,95.289,7.782167668269224,2.0
VER,Red Bull Racing,0 days 00:01:35.342000,25.0,HARD,8.0,2.0,True,2024,Bahrain,95.342,7.8351676682692215,2.0
VER,Red Bull Racing,0 days 00:01:35.223000,26.0,HARD,9.0,2.0,True,2024,Bahrain,95.223,7.716167668269222,2.0
VER,Red Bull Racing,0 days 00:01:35.581000,27.0,HARD,10.0,2.0,True,2024,Bahrain,95.581,8.074167668269226,2.0
VER,Red Bull Racing,0 days 00:01:35.477000,28.0,HARD,11.0,2.0,True,2024,Bahrain,95.477,7.970167668269227,2.0
VER,Red Bull Racing,0 days 00:01:35.793000,29.0,HARD,12.0,2.0,True,2024,Bahrain,95.793,8.28616766826923,2.0
VER,Red Bull Racing,0 days 00:01:35.771000,30.0,HARD,13.0,2.0,True,2024,Bahrain,95.771,8.264167668269224,2.0
VER,Red Bull Racing,0 days 00:01:35.679000,31.0,HARD,14.0,2.0,True,2024,Bahrain,95.679,8.172167668269225,2.0
VER,Red Bull Racing,0 days 00:01:35.886000,32.0,HARD,15.0,2.0,True,2024,Bahrain,95.886,8.379167668269218,2.0
VER,Red Bull Racing,0 days 00:01:35.863000,33.0,HARD,16.0,2.0,True,2024,Bahrain,95.863,8.356167668269222,2.0
VER,Red Bull Racing,0 days 00:01:36.133000,34.0,HARD,17.0,2.0,True,2024,Bahrain,96.133,8.626167668269218,2.0
VER,Red Bull Racing,0 days 00:01:36.018000,35.0,HARD,18.0,2.0,True,2024,Bahrain,96.018,8.511167668269223,2.0
VER,Red Bull Racing,0 days 00:01:36.205000,36.0,HARD,19.0,2.0,True,2024,Bahrain,96.205,8.698167668269221,2.0
VER,Red Bull Racing,0 days 00:01:32.608000,39.0,SOFT,2.0,3.0,True,2024,Bahrain,92.608,5.101167668269227,0.0
VER,Red Bull Racing,0 days 00:01:36.589000,40.0,SOFT,3.0,3.0,True,2024,Bahrain,96.589,9.082167668269221,0.0
VER,Red Bull Racing,0 days 00:01:35.290000,41.0,SOFT,4.0,3.0,True,2024,Bahrain,95.29,7.783167668269229,0.0
VER,Red Bull Racing,0 days 00:01:34.667000,42.0,SOFT,5.0,3.0,True,2024,Bahrain,94.667,7.160167668269224,0.0
VER,Red Bull Racing,0 days 00:01:34.151000,43.0,SOFT,6.0,3.0,True,2024,Bahrain,94.151,6.644167668269219,0.0
VER,Red Bull Racing,0 days 00:01:34.531000,44.0,SOFT,7.0,3.0,True,2024,Bahrain,94.531,7.024167668269229,0.0
VER,Red Bull Racing,0 days 00:01:34.249000,45.0,SOFT,8.0,3.0,True,2024,Bahrain,94.249,6.742167668269218,0.0
VER,Red Bull Racing,0 days 00:01:34.193000,46.0,SOFT,9.0,3.0,True,2024,Bahrain,94.193,6.686167668269221,0.0
VER,Red Bull Racing,0 days 00:01:34.239000,47.0,SOFT,10.0,3.0,True,2024,Bahrain,94.239,6.732167668269227,0.0
VER,Red Bull Racing,0 days 00:01:34.350000,48.0,SOFT,11.0,3.0,True,2024,Bahrain,94.35,6.843167668269217,0.0
VER,Red Bull Racing,0 days 00:01:34.403000,49.0,SOFT,12.0,3.0,True,2024,Bahrain,94.403,6.896167668269229,0.0
VER,Red Bull Racing,0 days 00:01:34.783000,50.0,SOFT,13.0,3.0,True,2024,Bahrain,94.783,7.276167668269224,0.0
VER,Red Bull Racing,0 days 00:01:34.340000,51.0,SOFT,14.0,3.0,True,2024,Bahrain,94.34,6.833167668269226,0.0
VER,Red Bull Racing,0 days 00:01:34.906000,52.0,SOFT,15.0,3.0,True,2024,Bahrain,94.906,7.399167668269229,0.0
VER,Red Bull Racing,0 days 00:01:35.600000,53.0,SOFT,16.0,3.0,True,2024,Bahrain,95.6,8.093167668269217,0.0
VER,Red Bull Racing,0 days 00:01:35.334000,54.0,SOFT,17.0,3.0,True,2024,Bahrain,95.334,7.827167668269226,0.0
VER,Red Bull Racing,0 days 00:01:35.184000,55.0,SOFT,18.0,3.0,True,2024,Bahrain,95.184,7.67716766826922,0.0
VER,Red Bull Racing,0 days 00:01:34.671000,56.0,SOFT,19.0,3.0,True,2024,Bahrain,94.671,7.164167668269229,0.0
VER,Red Bull Racing,0 days 00:01:34.923000,57.0,SOFT,20.0,3.0,True,2024,Bahrain,94.923,7.416167668269225,0.0
PER,Red Bull Racing,0 days 00:01:36.541000,2.0,SOFT,5.0,1.0,True,2024,Bahrain,96.541,7.474570327552982,0.0
PER,Red Bull Racing,0 days 00:01:37.297000,3.0,SOFT,6.0,1.0,True,2024,Bahrain,97.297,8.230570327552982,0.0
PER,Red Bull Racing,0 days 00:01:37.722000,4.0,SOFT,7.0,1.0,True,2024,Bahrain,97.722,8.65557032755298,0.0
PER,Red Bull Racing,0 days 00:01:38.044000,5.0,SOFT,8.0,1.0,True,2024,Bahrain,98.044,8.977570327552982,0.0
PER,Red Bull Racing,0 days 00:01:37.823000,6.0,SOFT,9.0,1.0,True,2024,Bahrain,97.823,8.756570327552978,0.0
PER,Red Bull Racing,0 days 00:01:37.821000,7.0,SOFT,10.0,1.0,True,2024,Bahrain,97.821,8.754570327552983,0.0
PER,Red Bull Racing,0 days 00:01:37.838000,8.0,SOFT,11.0,1.0,True,2024,Bahrain,97.838,8.771570327552979,0.0
PER,Red Bull Racing,0 days 00:01:37.596000,9.0,SOFT,12.0,1.0,True,2024,Bahrain,97.596,8.529570327552989,0.0
PER,Red Bull Racing,0 days 00:01:37.630000,10.0,SOFT,13.0,1.0,True,2024,Bahrain,97.63,8.56357032755298,0.0
PER,Red Bull Racing,0 days 00:01:37.836000,11.0,SOFT,14.0,1.0,True,2024,Bahrain,97.836,8.769570327552984,0.0
PER,Red Bull Racing,0 days 00:01:35.606000,14.0,HARD,2.0,2.0,True,2024,Bahrain,95.606,6.53957032755298,2.0
PER,Red Bull Racing,0 days 00:01:36.815000,15.0,HARD,3.0,2.0,True,2024,Bahrain,96.815,7.748570327552983,2.0
PER,Red Bull Racing,0 days 00:01:35.783000,16.0,HARD,4.0,2.0,True,2024,Bahrain,95.783,6.716570327552986,2.0
PER,Red Bull Racing,0 days 00:01:36.454000,17.0,HARD,5.0,2.0,True,2024,Bahrain,96.454,7.387570327552979,2.0
PER,Red Bull Racing,0 days 00:01:36.311000,18.0,HARD,6.0,2.0,True,2024,Bahrain,96.311,7.244570327552992,2.0
PER,Red Bull Racing,0 days 00:01:36.038000,19.0,HARD,7.0,2.0,True,2024,Bahrain,96.038,6.971570327552982,2.0
PER,Red Bull Racing,0 days 00:01:36.278000,20.0,HARD,8.0,2.0,True,2024,Bahrain,96.278,7.211570327552991,2.0
PER,Red Bull Racing,0 days 00:01:36.165000,21.0,HARD,9.0,2.0,True,2024,Bahrain,96.165,7.098570327552991,2.0
PER,Red Bull Racing,0 days 00:01:36.037000,22.0,HARD,10.0,2.0,True,2024,Bahrain,96.037,6.970570327552991,2.0
PER,Red Bull Racing,0 days 00:01:36.249000,23.0,HARD,11.0,2.0,True,2024,Bahrain,96.249,7.18257032755298,2.0
PER,Red Bull Racing,0 days 00:01:36.211000,24.0,HARD,12.0,2.0,True,2024,Bahrain,96.211,7.144570327552984,2.0
PER,Red Bull Racing,0 days 00:01:36.344000,25.0,HARD,13.0,2.0,True,2024,Bahrain,96.344,7.277570327552979,2.0
PER,Red Bull Racing,0 days 00:01:36.347000,26.0,HARD,14.0,2.0,True,2024,Bahrain,96.347,7.280570327552979,2.0
PER,Red Bull Racing,0 days 00:01:36.233000,27.0,HARD,15.0,2.0,True,2024,Bahrain,96.233,7.166570327552989,2.0
PER,Red Bull Racing,0 days 00:01:36.226000,28.0,HARD,16.0,2.0,True,2024,Bahrain,96.226,7.159570327552984,2.0
PER,Red Bull Racing,0 days 00:01:36.437000,29.0,HARD,17.0,2.0,True,2024,Bahrain,96.437,7.370570327552983,2.0
PER,Red Bull Racing,0 days 00:01:36.313000,30.0,HARD,18.0,2.0,True,2024,Bahrain,96.313,7.246570327552988,2.0
PER,Red Bull Racing,0 days 00:01:36.339000,31.0,HARD,19.0,2.0,True,2024,Bahrain,96.339,7.272570327552984,2.0
PER,Red Bull Racing,0 days 00:01:36.276000,32.0,HARD,20.0,2.0,True,2024,Bahrain,96.276,7.209570327552981,2.0
PER,Red Bull Racing,0 days 00:01:36.564000,33.0,HARD,21.0,2.0,True,2024,Bahrain,96.564,7.497570327552978,2.0
PER,Red Bull Racing,0 days 00:01:36.378000,34.0,HARD,22.0,2.0,True,2024,Bahrain,96.378,7.311570327552985,2.0
PER,Red Bull Racing,0 days 00:01:36.776000,35.0,HARD,23.0,2.0,True,2024,Bahrain,96.776,7.709570327552981,2.0
PER,Red Bull Racing,0 days 00:01:34.804000,38.0,SOFT,2.0,3.0,True,2024,Bahrain,94.804,5.737570327552987,0.0
PER,Red Bull Racing,0 days 00:01:34.607000,39.0,SOFT,3.0,3.0,True,2024,Bahrain,94.607,5.5405703275529845,0.0
PER,Red Bull Racing,0 days 00:01:34.364000,40.0,SOFT,4.0,3.0,True,2024,Bahrain,94.364,5.2975703275529895,0.0
PER,Red Bull Racing,0 days 00:01:34.400000,41.0,SOFT,5.0,3.0,True,2024,Bahrain,94.4,5.333570327552991,0.0
PER,Red Bull Racing,0 days 00:01:34.525000,42.0,SOFT,6.0,3.0,True,2024,Bahrain,94.525,5.458570327552991,0.0
PER,Red Bull Racing,0 days 00:01:34.797000,43.0,SOFT,7.0,3.0,True,2024,Bahrain,94.797,5.730570327552982,0.0
PER,Red Bull Racing,0 days 00:01:34.799000,44.0,SOFT,8.0,3.0,True,2024,Bahrain,94.799,5.732570327552992,0.0
PER,Red Bull Racing,0 days 00:01:34.592000,45.0,SOFT,9.0,3.0,True,2024,Bahrain,94.592,5.525570327552984,0.0
PER,Red Bull Racing,0 days 00:01:34.844000,46.0,SOFT,10.0,3.0,True,2024,Bahrain,94.844,5.777570327552979,0.0
PER,Red Bull Racing,0 days 00:01:34.730000,47.0,SOFT,11.0,3.0,True,2024,Bahrain,94.73,5.663570327552989,0.0
PER,Red Bull Racing,0 days 00:01:34.885000,48.0,SOFT,12.0,3.0,True,2024,Bahrain,94.885,5.81857032755299,0.0
PER,Red Bull Racing,0 days 00:01:34.966000,49.0,SOFT,13.0,3.0,True,2024,Bahrain,94.966,5.899570327552979,0.0
PER,Red Bull Racing,0 days 00:01:35.082000,50.0,SOFT,14.0,3.0,True,2024,Bahrain,95.082,6.015570327552979,0.0
PER,Red Bull Racing,0 days 00:01:34.940000,51.0,SOFT,15.0,3.0,True,2024,Bahrain,94.94,5.873570327552983,0.0
PER,Red Bull Racing,0 days 00:01:35.183000,52.0,SOFT,16.0,3.0,True,2024,Bahrain,95.183,6.116570327552992,0.0
PER,Red Bull Racing,0 days 00:01:35.842000,53.0,SOFT,17.0,3.0,True,2024,Bahrain,95.842,6.775570327552984,0.0
PER,Red Bull Racing,0 days 00:01:35.459000,54.0,SOFT,18.0,3.0,True,2024,Bahrain,95.459,6.392570327552988,0.0
PER,Red Bull Racing,0 days 00:01:35.611000,55.0,SOFT,19.0,3.0,True,2024,Bahrain,95.611,6.544570327552989,0.0
PER,Red Bull Racing,0 days 00:01:35.568000,56.0,SOFT,20.0,3.0,True,2024,Bahrain,95.568,6.501570327552983,0.0
PER,Red Bull Racing,0 days 00:01:35.746000,57.0,SOFT,21.0,3.0,True,2024,Bahrain,95.746,6.67957032755298,0.0
SAI,Ferrari,0 days 00:01:37.236000,2.0,SOFT,5.0,1.0,True,2024,Bahrain,97.236,9.471985461441221,0.0
SAI,Ferrari,0 days 00:01:37.080000,3.0,SOFT,6.0,1.0,True,2024,Bahrain,97.08,9.315985461441215,0.0
SAI,Ferrari,0 days 00:01:37.264000,4.0,SOFT,7.0,1.0,True,2024,Bahrain,97.264,9.499985461441213,0.0
